"Page ID","Page name","Data comment",Date,"Unique user engagements","Overall negative feedback","Overall negative feedback: Hide all","Overall negative feedback: Hide","Overall negative feedback: Report as spam","Overall negative feedback: Unlike Page","Overall negative feedback: Click X button","Unique negative feedback from users"
102381498450783,"Core Four Roofing",,07/23/2026,0,0,0,0,0,0,0,0
102381498450783,"Core Four Roofing",,07/24/2026,24,0,0,0,0,0,0,0
102381498450783,"Core Four Roofing",,07/25/2026,12,0,0,0,0,0,0,0
102381498450783,"Core Four Roofing",,07/26/2026,9,0,0,0,0,0,0,0
102381498450783,"Core Four Roofing",,07/27/2026,3,0,0,0,0,0,0,0
102381498450783,"Core Four Roofing",,07/28/2026,6,0,0,0,0,0,0,0
102381498450783,"Core Four Roofing",,07/29/2026,2,0,0,0,0,0,0,0
102381498450783,"Core Four Roofing",,07/30/2026,42,0,0,0,0,0,0,0
102381498450783,"Core Four Roofing",,07/31/2026,4,0,0,0,0,0,0,0
102381498450783,"Core Four Roofing",,08/01/2026,2,0,0,0,0,0,0,0
102381498450783,"Core Four Roofing",,08/02/2026,1,0,0,0,0,0,0,0
102381498450783,"Core Four Roofing",,08/03/2026,4,0,0,0,0,0,0,0
102381498450783,"Core Four Roofing",,08/04/2026,1,0,0,0,0,0,0,0
102381498450783,"Core Four Roofing",,08/05/2026,6,0,0,0,0,0,0,0
102381498450783,"Core Four Roofing",,08/06/2026,0,0,0,0,0,0,0,0
102381498450783,"Core Four Roofing",,08/07/2026,5,0,0,0,0,0,0,0
102381498450783,"Core Four Roofing",,08/08/2026,1,0,0,0,0,0,0,0
102381498450783,"Core Four Roofing",,08/09/2026,0,0,0,0,0,0,0,0
102381498450783,"Core Four Roofing",,08/10/2026,2,0,0,0,0,0,0,0
102381498450783,"Core Four Roofing",,08/11/2026,1,0,0,0,0,0,0,0
102381498450783,"Core Four Roofing",,08/12/2026,5,0,0,0,0,0,0,0
102381498450783,"Core Four Roofing",,08/13/2026,0,0,0,0,0,0,0,0
102381498450783,"Core Four Roofing",,08/14/2026,5,0,0,0,0,0,0,0
102381498450783,"Core Four Roofing",,08/15/2026,1,0,0,0,0,0,0,0
102381498450783,"Core Four Roofing",,08/16/2026,4,0,0,0,0,0,0,0
